Year,Animal,Vegetal,Sum,Animal Trade Correction,Animal Transport Correction,Vegetal Trade Correction,Vegetal Transport Correction,Animal Corrected,Vegetal Corrected,Sum Corrected,Country
2007,654.3295600000001,892.5017933333334,1546.8313533333335,-2.9803651795926775,0.1555978764908584,32.37327604403549,2.0971750159602887,651.5047926968983,926.9722443933291,1578.4770370902274,Latvia
2008,676.4443466666667,920.0793266666667,1596.5236733333334,-4.920585951565263,0.17975640088452655,-113.48956020194962,2.5680445734302078,671.703517115986,809.1578110381473,1480.8613281541334,Latvia
2009,645.1284933333334,928.0921266666667,1573.22062,-6.8309130918030805,0.13307446118994065,-125.1249766085682,1.9805763489999113,638.4306547027203,804.9477264070983,1443.3783811098187,Latvia
2010,637.9024466666667,944.9668799999998,1582.8693266666664,-5.969123812386016,0.1536867774429041,-54.66965609775948,1.8576313843272452,632.0870096317236,892.1548552865676,1524.2418649182912,Latvia
2011,640.5341733333333,963.0829133333333,1603.6170866666666,-7.956691016433567,0.1442672787277169,-1.3686867527033264,3.4586701381988547,632.7217495956276,965.1728967188288,1597.8946463144564,Latvia
2012,639.9895933333333,1009.5825333333333,1649.5721266666667,-6.195944207243383,0.18594354511403907,-104.4201353999175,3.4607103921513755,633.9795926712039,908.6231083255672,1542.602700996771,Latvia
2013,652.7456000000001,1023.1311,1675.8767,-6.324174242937857,0.17903105523515628,-191.870875809995,2.2469703319967524,646.6004568122974,833.5071945220017,1480.1076513342991,Latvia
2014,668.40472,1047.3730533333335,1715.7777733333335,-8.514011617067695,0.17734018302559262,-101.3914767057163,3.65160642773273,660.068048565958,949.63318305535,1609.701231621308,Latvia
2015,682.1705333333333,1094.8407266666668,1777.0112600000002,-7.673397851555176,0.17473229014426228,-221.17917204778826,2.5699461136788546,674.6718677719224,876.2315007325574,1550.9033685044797,Latvia
2016,676.10306,1091.7383333333332,1767.8413933333331,-6.454861430962765,0.22922702730446465,-157.28333321196632,1.978259235502556,669.8774255963417,936.4332593568695,1606.3106849532112,Latvia
2017,661.0090333333334,1086.58934,1747.5983733333333,-7.065015684757548,0.34724882926833245,-155.2533791187686,2.0036276070868118,654.2912664778441,933.3395884883182,1587.6308549661624,Latvia
2000,1583.317653333333,1715.7037466666663,3299.0213999999996,-3.8281081494484863,0.03152481767423401,1.3674220763038294,3.8299938055444995,1579.5210700015587,1720.9011625485148,3300.422232550073,Lithuania
2001,1389.3236266666665,1687.4264066666667,3076.7500333333332,1.4741180930176938,0.07268961640279407,-3.9734176313271905,2.0732691192450665,1390.8704343760871,1685.5262581545844,3076.3966925306713,Lithuania
2002,1405.5485333333336,1322.6185333333333,2728.167066666667,2.2782952559227256,0.5925298465720972,11.095686372780971,15.521194830559926,1408.4193584358284,1349.2354145366744,2757.6547729725025,Lithuania
2003,1441.9838333333332,1433.3281466666665,2875.3119799999995,2.6835175350913145,0.4379240426716138,-18.239760193653275,3.9278757398957636,1445.105274911096,1419.0162622129092,2864.121537124005,Lithuania
2004,1475.2672733333334,1492.3296533333335,2967.596926666667,-1.4312098074169108,0.06662679428060654,-4.100758740042087,5.173005422794884,1473.902690320197,1493.4019000160863,2967.3045903362836,Lithuania
2005,1449.3665733333332,1272.5952133333333,2721.9617866666667,-1.9713921980071973,0.11565462132408515,5.244740351932596,3.7387477850785693,1447.51083575665,1281.5787014703446,2729.0895372269947,Lithuania
2006,1447.4994933333332,1369.20806,2816.707553333333,2.1681000859633826,0.22486426198580536,-35.91332206312494,3.166686308829678,1449.8924576812826,1336.4614242457046,2786.353881926987,Lithuania
2007,1478.1814133333335,1283.616,2761.7974133333337,3.7086758504685906,0.2754555410788195,-47.37964896143918,2.3108189739008784,1482.1655447248809,1238.5471700124617,2720.7127147373426,Lithuania
2008,1387.4893733333333,1401.64486,2789.134233333333,5.362953406996746,0.33990922927293343,-119.2619225917841,3.780980129391673,1393.192235969603,1286.1639175376079,2679.356153507211,Lithuania
2009,1341.5625733333334,1504.4687066666665,2846.03128,3.7738553855671895,0.2474960336987769,-94.28656288887676,2.106852096453062,1345.5839247525994,1412.288995874243,2757.8729206268426,Lithuania
2010,1311.1280000000002,1708.6954933333334,3019.8234933333333,3.44175237579353,0.35616682968076196,-133.11235361509415,1.8274937948152659,1314.9259192054744,1577.4106335130543,2892.3365527185288,Lithuania
2011,1300.81574,1494.4971333333333,2795.3128733333333,3.2200897096696393,0.5020100100197803,-50.57901094046214,3.489544081537056,1304.5378397196894,1447.4076664744082,2751.9455061940976,Lithuania
2012,1272.46468,1976.6069733333334,3249.0716533333334,6.03464267750356,0.6651245582190785,-229.88804283705824,4.98625166136148,1279.1644472357227,1751.7051821576365,3030.869629393359,Lithuania
2013,1231.901386666667,1981.758346666667,3213.659733333334,4.578200262939077,0.6881742325962084,-382.22087601941485,3.17057207628834,1237.1677611622022,1602.7080427235405,2839.8758038857427,Lithuania
2014,1202.2181866666667,2031.9644333333333,3234.18262,-0.32361670731476466,0.78209175124488,-173.77849595512475,2.815768865204112,1202.6766617105968,1861.0017062434126,3063.6783679540094,Lithuania
2015,1223.80618,2080.584113333333,3304.390293333333,0.5145298879230802,0.6794817714223512,-308.167808354854,5.00513819975017,1225.0001916593455,1777.421443178229,3002.421634837575,Lithuania
2016,1195.1647333333333,2028.3820999999998,3223.546833333333,1.6606644035404114,0.6856877102256441,-241.49398037594293,5.08084628949687,1197.5110854470995,1791.9689659135536,2989.4800513606533,Lithuania
